filename,label
ldpose_test/Amputation_0002.jpg,0
ldpose_test/Amputation_0024.jpg,0
ldpose_test/Amputation_0028.jpg,2
ldpose_test/Amputation_0043.jpg,0
ldpose_test/Amputation_0047.jpg,2
ldpose_test/Amputation_0048.jpg,0
ldpose_test/Amputation_0050.jpg,0
ldpose_test/Amputation_0056.jpg,0
ldpose_test/Amputation_0063.jpg,2
ldpose_test/Amputation_0064.jpg,2
ldpose_test/Amputation_0066.jpg,2
ldpose_test/Amputation_0068.jpg,2
ldpose_test/Amputation_0071.jpg,2
ldpose_test/Amputation_0072.jpg,2
ldpose_test/Amputation_0078.jpg,0
ldpose_test/Amputation_0080.jpg,2
ldpose_test/Amputation_0083.jpg,0
ldpose_test/Amputation_0099.jpg,0
ldpose_test/Amputation_0110.jpg,2
ldpose_test/Amputation_0111.jpg,2
ldpose_test/Amputation_0113.jpg,0
ldpose_test/Amputation_0117.jpg,0
ldpose_test/Amputation_0127.jpg,2
ldpose_test/Amputation_0130.jpg,2
ldpose_test/Amputation_0144.jpg,0
ldpose_test/Amputation_0148.jpg,0
ldpose_test/Amputation_0161.jpg,2
ldpose_test/Amputation_0165.jpg,2
ldpose_test/Amputation_0169.jpg,2
ldpose_test/Amputation_0170.jpg,2
ldpose_test/Amputation_0172.jpg,0
ldpose_test/Amputation_0173.jpg,0
ldpose_test/Amputation_0174.jpg,0
ldpose_test/Amputation_0179.jpg,2
ldpose_test/Amputation_0186.jpg,1
ldpose_test/Amputation_0189.jpg,2
ldpose_test/Amputation_0190.jpg,0
ldpose_test/Amputation_0209.jpg,0
ldpose_test/Amputation_0213.jpg,2
ldpose_test/Amputation_0217.jpg,1
ldpose_test/Amputation_0218.jpg,0
ldpose_test/Amputation_0220.jpg,2
ldpose_test/Amputation_0223.jpg,0
ldpose_test/Amputation_0227.jpg,1
ldpose_test/Amputation_0230.jpg,1
ldpose_test/Amputation_0232.jpg,0
ldpose_test/Amputation_0234.jpg,1
ldpose_test/Amputation_0241.jpg,1
ldpose_test/Amputation_0246.jpg,1
ldpose_test/Amputation_0257.jpg,0
ldpose_test/Amputation_0263.jpg,0
ldpose_test/Amputation_0275.jpg,0
ldpose_test/Amputation_0281.jpg,1
ldpose_test/Amputation_0286.jpg,1
ldpose_test/Amputation_0287.jpg,2
ldpose_test/Amputation_0298.jpg,1
ldpose_test/Amputation_0299.jpg,2
ldpose_test/Amputation_0310.jpg,2
ldpose_test/Amputation_0312.jpg,1
ldpose_test/Amputation_0318.jpg,1
ldpose_test/Amputation_0330.jpg,1
ldpose_test/Amputation_0331.jpg,1
ldpose_test/Amputation_0341.jpg,2
